path,role,purpose,top_level_symbols,contains_fixed_paths,original_path
experiments/fusion_protocol/analyze_fusion_results.py,legacy_analysis,Original aggregate/report generation; mixed-family grouping caveats apply,ensure_dir; read_summaries; mean_std_str; aggregate_fold_seed; read_head_class_metrics; paired_comparisons; make_report; main,False,RadarIMU_HGR_FusionProtocol_Project/RadarIMU_HGR_FusionProtocol_Project/analyze_fusion_results.py
experiments/fusion_protocol/make_sample_distribution_table.py,dataset_summary,Folder-based trial counts / LaTeX tables; encoding-only UTF-8 fix,normalize_head_name; scan_dataset; make_distribution; latex_table; main,True,RadarIMU_HGR_FusionProtocol_Project/make_sample_distribution_table.py
experiments/fusion_protocol/run_fusion_protocol_suite.py,main_experiment,"Fusion feature loader, subject split, model, training, evaluation engine",set_seed; ensure_dir; short_hash; canonical_head; safe_float_array; interp_nan_1d; resample_matrix; sincos_deg; polar_to_xyz; normalize_quat; quat_conj; quat_mul; quaternion_relative_to_first; delta; CachedDataset; choose_col; read_csv_features; build_or_load_dataset; split_subjects; sample_balanced; protocol_indices; confusion_matrix; metrics_from_cm; compute_metrics; TCNEncoder; GRUEncoder; TransformerSeqEncoder; build_encoder; SingleStreamClassifier; LateFusionClassifier; AttentionFusionClassifier; count_params; PreparedData; compute_norm; normalize_arr; prepare_inputs; build_model_for_experiment; forward_model; predict_all; evaluate_model; class_weights; train_one; summarize_counts; save_json; run_experiment; expand_manifest; main,False,RadarIMU_HGR_FusionProtocol_Project/run_fusion_protocol_suite.py
experiments/revision/analyze_fusion_results.py,legacy_analysis,Original aggregate/report generation; mixed-family grouping caveats apply,ensure_dir; read_summaries; mean_std_str; aggregate_fold_seed; read_head_class_metrics; paired_comparisons; make_report; main,False,RadarIMU_HGR_Revision_Experiments_Project/RadarIMU_HGR_Revision_Experiments_Project/analyze_fusion_results.py
experiments/revision/analyze_revision_lr_stats.py,revision_analysis,"Family-separated LR/significance analysis, historical statistical assumptions preserved",ensure_dir; read_summaries; parse_lr; fold_seed_aggregate; paired_stats; compute_comparison; make_lr_tables; md_table; main,False,RadarIMU_HGR_Revision_Experiments_Project/RadarIMU_HGR_Revision_Experiments_Project/analyze_revision_lr_stats.py
experiments/revision/run_fusion_protocol_suite.py,revision_engine,"Fusion feature loader, subject split, model, training, evaluation engine",set_seed; ensure_dir; short_hash; canonical_head; safe_float_array; interp_nan_1d; resample_matrix; sincos_deg; polar_to_xyz; normalize_quat; quat_conj; quat_mul; quaternion_relative_to_first; delta; CachedDataset; choose_col; read_csv_features; build_or_load_dataset; split_subjects; sample_balanced; protocol_indices; confusion_matrix; metrics_from_cm; compute_metrics; TCNEncoder; GRUEncoder; TransformerSeqEncoder; build_encoder; SingleStreamClassifier; LateFusionClassifier; AttentionFusionClassifier; count_params; PreparedData; compute_norm; normalize_arr; prepare_inputs; build_model_for_experiment; forward_model; predict_all; evaluate_model; class_weights; train_one; summarize_counts; save_json; run_experiment; expand_manifest; main,False,RadarIMU_HGR_Revision_Experiments_Project/run_fusion_protocol_suite.py
legacy/BGT60TR13C/HMI_DataCap_raw_v1.py,exploratory_image_branch,"Offline array correction, rebinning, and image export; NOT acquisition",group_radar_files; load_radar_and_imu_data; trim_imu_data; rebin_corrected_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; save_2d_array_as_image; main,True,BGT60TR13C/HMI_DataCap_raw_v1.py
legacy/BGT60TR13C/IMU_data_cut.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_data_cut.py
legacy/BGT60TR13C/IMU_processe.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_processe.py
legacy/BGT60TR13C/IMU_processe_v1.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_processe_v1.py
